Sample Skill,Similar Skills
dashboard reporting,excel pivot tables(0.9159975647926331),ms office tools(0.905022919178009),powerpoint(0.8898415565490723),outlook(0.8655190467834473),excel(0.864408552646637)
sql query,olap.(0.8120738863945007),"sybase , sql server(0.8013477325439453)",sql(0.7998697757720947),pl / sql(0.7988185286521912),etl.(0.7973234057426453)
data integration tools,iwr(0.8054353594779968),project lifecycle.(0.7882781028747559),planning process(0.7616230249404907),spend analysis(0.7486104965209961),pl/sql(0.741948664188385)
cluster analysis,regression models(0.9590021967887878),ml(0.9538088440895081),statistical techniques(0.9513300061225891),statistics(0.9450270533561707),big data analysis(0.9426407814025879)
ad - hoc reporting,approval process(0.7957181334495544),leave management(0.7922631502151489),oracle financial(0.7850972414016724),emr(0.7755522727966309),payroll management(0.7731248140335083)
improve customer satisfaction.,drc(0.9043081998825073),increase profitability(0.8937682509422302),end - to - end sales cycle(0.883939802646637),advise management(0.8833076357841492),customer support(0.8829502463340759)
utilize data,gis(0.9180223941802979),panvalet(0.9071000218391418),macros(0.8985545039176941),designing.(0.8984817862510681),excel.(0.8966686129570007)
survey.,eib(0.8826978802680969),order management(0.8758591413497925),workday hcm(0.8651759028434753),international conferences(0.8647707104682922),costing(0.8645946979522705)
data cleansing,dimensional modeling(0.9901817440986633),solution designing(0.9576413035392761),design / analysis(0.9547467231750488),informatica data quality(0.9533690810203552),idq(0.9522335529327393)
data validation.,sql server integration(0.978847086429596),analysis services(0.9738324880599976),cubes(0.9709615111351013),fload(0.9630853533744812),ssas(0.9624444842338562)
business requirement documents,brd(0.9877570867538452),process flow(0.9802713394165039),srs(0.9758007526397705),analyzing business(0.9736666679382324),process re - engineering(0.9736470580101013)
excel pivot tables,dashboard reporting(0.9159974455833435),powerpoint(0.8492664694786072),french speaking(0.8321123719215393),tax software(0.8314962983131409),microsoft sharepo...(0.8145607709884644)
data manipulation.,desktop(0.8389532566070557),logistics(0.8321611881256104),sage(0.829550564289093),employee training(0.8291400671005249),freight forwarding(0.8275772929191589)
electronic security system,digital signal processing(0.8058109283447266),"kompetent und umsetzungsstark im projekt-, service- und systemgeschäft(0.8045012354850769)",warley position(0.8023074269294739),optimization.(0.8021014928817749),processes(0.8017308115959167)
electronic security,send samples to customers(0.995387613773346),taking instruction from customers(0.9953852891921997),relay information to sales about customer orders and any delays(0.9953246116638184),other tasks agreed with sales where their absence from the office would make the task difficult or impossible assist with the administration of the packaging waste regulations prepare and circulate end of month summaries/reports acknowledge receipt of website enquiries on the day they are received and forward to sales department mouchel(0.9950742721557617),december 2010 helpdesk operative(0.9950202107429504)
computer assembly,network monitoring(0.9004964828491211),hardware maintenance(0.8838050961494446),results - driven.(0.8806245923042297),mcsa(0.8792420029640198),networks(0.8779519200325012)
windows installation,help management(0.9427571892738342),tl1(0.9427428841590881),soc(0.9419302940368652),network architecture(0.9416946768760681),sata(0.9405876398086548)
hardware troubleshooting,soc(0.9328822493553162),troubleshoot(0.9310154914855957),nim(0.9299064874649048),o / s(0.9271346926689148),server administration.(0.9257420897483826)
relational database management systems,l1(0.9418185353279114),perl.(0.9391047954559326),sas.(0.9369882345199585),database management systems(0.9368756413459778),ms azure(0.9358806610107422)
database management systems,ocr(0.9863397479057312),unit testing framework(0.9796687960624695),application security(0.975102424621582),stored procedures.(0.9725852012634277),vs.net(0.9720331430435181)
maintain data,calculations(0.9867186546325684),engagement(0.9857072234153748),tat(0.9856677055358887),housekeeping(0.9852095246315002),navision (5 years)(0.984940230846405)
azure sql,sqlcmd(0.9895027875900269),dax(0.9832170605659485),database security(0.9828872680664062),sql profiler(0.9816998839378357),report manager(0.9813537001609802)
generate reports.,spotfire(0.8684712648391724),epm(0.8680896162986755),visual basic 6(0.8674255609512329),power bi(0.8655256032943726),as400(0.8628823757171631)
dax,six sigma (2 years)(0.9874300956726074),reports) (3 years)(0.9855817556381226),azure sql(0.9832170605659485),report manager(0.9831852912902832),power bi)(0.982980489730835)
power pivot,proc sql(0.969575822353363),sas base(0.9664203524589539),data visualizatio...(0.960227906703949),physical design(0.9584521651268005),spss(0.9558077454566956)
power view,bfsi(0.8904048800468445),project managers(0.8865393400192261),impromptu(0.8847983479499817),bi(0.8823704123497009),business intellig...(0.8804323673248291)
visualizations,tableau.(0.9659080505371094),physical design(0.9625546336174011),power pivot(0.948299765586853),bo(0.9432838559150696),bi.(0.9384358525276184)
sql profiler,ods(0.9873287677764893),ms profiler(0.9860910177230835),mssis(0.9843524098396301),report manager(0.9843145608901978),qmf(0.9830322265625)
sql server database,etl processes.(0.9446746706962585),developed business(0.9392561316490173),analysis services(0.9289553761482239),etl processes(0.9268679618835449),data validation.(0.924597978591919)
restoration,primary skills: oracle sql-pl/sql(0.9869166016578674),enterprise manager(0.9857175946235657),tools used: toad(0.9847006797790527),imp(0.984565019607544),incident and change management tools: hp quality control(0.9844362735748291)
programming skills.,good team player(0.9178274273872375),self - starter(0.914739727973938),problem solving skills.(0.9115623235702515),interpersonal(0.899665892124176),interpersonal skills(0.8923699855804443)
product life cycle management,use cases.(0.9730225205421448),stored procedures.(0.9699061512947083),conducting team meetings(0.9679144620895386),discussing special promotions.(0.9669156074523926),unix shell scripting.(0.9661799073219299)
product life cycle,use cases.(0.9772664904594421),qc.(0.972500741481781),vna(0.9685912132263184),analysing(0.9681008458137512),life science(0.96808922290802)
talend,tibco spotfire(0.9658827185630798),legacy systems(0.9634420871734619),spark.(0.9598294496536255),addm(0.9588584303855896),hiveql(0.9569438695907593)
query studio,report studio(0.9829574227333069),impromptu(0.9828370809555054),analysis studio(0.980658233165741),bi.(0.9800653457641602),power bi.(0.9675499796867371)
report studio,query studio(0.9829573631286621),analysis studio(0.9770042896270752),power bi.(0.9646906852722168),sas base(0.9643547534942627),bi.(0.9641996622085571)
windows ( 2000,matlab.(0.899212121963501),mat lab(0.840356171131134),windows 7(0.8273299336433411),embedded system(0.8267971873283386),open office(0.8214733600616455)
analyzing client,value analysis(0.9562234282493591),giving presentations(0.9428151249885559),"management , process(0.935291051864624)",process automation(0.9350103735923767),e2e(0.9341945052146912)
microsoft certification,photo editing(0.922050952911377),canvas(0.919428825378418),v - lookup(0.9183957576751709),final cut pro(0.9182201027870178),pcr(0.9173062443733215)
network planning,landing pages(0.976962149143219),budgets.(0.96421217918396),consumer needs.(0.9608434438705444),audio(0.9602690935134888),promotional activities(0.9598835110664368)
routing protocols,juniper(0.9847656488418579),vlan(0.9787353873252869),network design(0.9750655889511108),eigrp(0.9738593697547913),vtp(0.9731979370117188)
layer 2,layer 3(0.996396005153656),layer - 2(0.989447295665741),cisco router(0.9880474805831909),802.1q(0.9871005415916443),layer - 3(0.9866988658905029)
layer 3,layer 2(0.9963958263397217),isr(0.994304358959198),layer - 2(0.9940170049667358),802.1q(0.9923641085624695),cisco router(0.9915608763694763)
qos.,cisco(0.7974988222122192),netscreen(0.7840771079063416),routing(0.7826926112174988),dmz(0.7579033374786377),adtran(0.7565515637397766)
ip addressing,tacacs+(0.9911898970603943),isr(0.9908237457275391),ppp(0.990566611289978),cdp(0.9900280237197876),ips(0.9894608855247498)
netscreen,cisco(0.9562629461288452),dmz(0.9421219825744629),vpn(0.9395915865898132),firewall(0.9315327405929565),smtp(0.9311526417732239)
gtm,mpls(0.9895012378692627),cacti(0.9887799620628357),multicast(0.9887787699699402),meraki(0.988441526889801),arp(0.9878989458084106)
vtp,stp(0.9974339604377747),rip(0.9970352649688721),rstp(0.9967606663703918),mpls(0.9959360361099243),eigrp(0.9942387342453003)
pvst,routing(0.8576019406318665),infoblox(0.8575655221939087),routing protocols(0.8476444482803345),unified communications(0.8299214839935303),vlan(0.8295514583587646)
port - security,lacp(0.9330068826675415),data security(0.9302405714988708),social networking(0.9290799498558044),center management(0.9280861020088196),layer 3(0.9240162372589111)
isdn,t1(0.996730625629425),ethernet.(0.9953077435493469),sip(0.9951532483100891),qualys(0.9941080212593079),sonet(0.9936416745185852)
hdlc,cdp(0.9955225586891174),vpls(0.9946655631065369),diameter(0.9938430190086365),isis(0.9937101602554321),ethernet.(0.9936192035675049)
dmvpn.,layer - 2(0.9495269060134888),layer 3(0.9482274055480957),dmvpn(0.9467446804046631),cisco ( asa(0.9463263750076294),sonet(0.94614577293396)
ldp,frame relay(0.9324362874031067),checkpoint firewall(0.9308151602745056),tacacs+(0.9266571402549744),unisphere(0.9246588349342346),internet protocol(0.9233821034431458)
glbp,spanning tree(0.9957231283187866),osi(0.993859589099884),hsrp(0.98936527967453),ntp(0.9883981347084045),cisco ios(0.987940788269043)
vpls,vpn.(0.9975069761276245),ids(0.9967490434646606),cdp(0.9957321286201477),hdlc(0.9946655035018921),isr(0.9934871792793274)
l3vpn,multicast(0.9478198289871216),hsrp(0.9454556107521057),gtm(0.9440934658050537),"tcp , udp(0.9435774087905884)",arp(0.9434199929237366)
vrf,solarwinds(0.9890896677970886),fortigate(0.9887855052947998),qualys(0.9874417185783386),load balancing.(0.9873181581497192),siem(0.9867477416992188)
ntp.,sendmail(0.7289456129074097),websense(0.7117961645126343),veritas netbackup(0.7054234743118286),veritas storage foundation(0.7043073773384094),lamp(0.7032842040061951)
ess,qm(0.9638487696647644),ale(0.9562932848930359),sap hcm(0.9537269473075867),bdc(0.9504282474517822),om(0.9503433108329773)
cisco - asa,cisco(0.857464075088501),netscreen(0.8511899709701538),dmz(0.8460719585418701),lan(0.8435800671577454),ipx(0.8424939513206482)
proxy.,aws.(0.9701335430145264),internationalization(0.964941143989563),digital signal processing(0.9635459780693054),netcool(0.9624237418174744),infrastructure services(0.9590662121772766)
struts2,aspect oriented programming(0.9713367819786072),object relational mapping(0.9710803627967834),rmi(0.9672546982765198),jndi(0.9652639031410217),spring core(0.9636531472206116)
web services ( soap,rsm(0.9100284576416016),spring integration(0.9093068242073059),spring security.(0.8971993923187256),creating quality products(0.896708607673645),aop(0.8905409574508667)
spring boot.,financial markets.(0.9829588532447815),java8(0.9780417084693909),cpg(0.9770649075508118),weblogic.(0.9770635366439819),thread(0.9750840663909912)
boot.,spring(0.9574597477912903),hibernate(0.9416004419326782),jpa(0.936631441116333),awt(0.9298595786094666),spring boot(0.9277512431144714)
strong interpersonal skills.,cics.(0.8794084191322327),unix scripting(0.8792890310287476),structured query language(0.8700183629989624),visual basic 6(0.8677210211753845),windows server 2008.(0.866614043712616)
web application frameworks,web service(0.9428123235702515),hibernate orm(0.9247634410858154),restful(0.9241816401481628),web app(0.9193366169929504),design patterns(0.9166606664657593)
mvc5,wwf(0.9261483550071716),.net 4.5(0.8896840214729309),"asp.net , c #(0.888883650302887)",razor view engine(0.8816944360733032),unidata(0.869583249092102)
orm ) tools,data structure and algorithms(0.8685287237167358),rtc.(0.824316143989563),"ubuntu , linux(0.8171631693840027)",dev - ops(0.8138080835342407),junits(0.795585036277771)
"php , mysql , ajax",device testing(0.7926685810089111),skill matrix(0.7456950545310974),smoke testing.(0.73480224609375),android platform(0.7291775941848755),mainframes.(0.7256101369857788)
php framework,zend(0.9784613847732544),symfony(0.9691148996353149),style sheets(0.9569247961044312),development cycle(0.9448148608207703),customer relations.(0.9385958909988403)
code igniter,microsoft office applications(0.9641969203948975),communication management(0.9594063758850098),kommunikation auf englisch(0.9575721621513367),articulate storyline(0.9529375433921814),internationale besteuerung(0.9528146982192993)
ecommerce website.,customer support(0.7728211283683777),internal auditing(0.7721533179283142),advise management(0.7709767818450928),application experience(0.7703424692153931),axapta(0.7699761390686035)
wordpress.,google analytics(0.9736490845680237),seo tools(0.971038818359375),visual design(0.9692137241363525),adobe flash.(0.966545820236206),adobe premiere(0.9648140072822571)
window services,"c # , asp.net(0.8507490158081055)",asp .net(0.8366687893867493),win forms(0.8353372812271118),"asp.net , mvc(0.8349005579948425)",linq(0.8326951861381531)
vehicle tracking,microsoft windows(0.8256005048751831),magento(0.7980115413665771),flash(0.77386873960495),polymer(0.7727155089378357),adobe photoshop.(0.7726172208786011)
google map,responsive websites(0.9208642244338989),html 5(0.9143022298812866),js(0.9094012379646301),node js(0.9077605605125427),css 3(0.9060400128364563)
vts,iis server(0.8097826838493347),ims(0.8056144714355469),ef(0.8014304637908936),winforms(0.7972820401191711),azure api(0.7938046455383301)
sap certified,team coordination(0.9135139584541321),motivated professional(0.9118043780326843),strings(0.9056040048599243),innovative ideas(0.9045907855033875),node js.(0.9039413332939148)
sap pp,badi(0.988283634185791),ale(0.9840336441993713),bdcs(0.9812477827072144),bapi(0.9811742305755615),user exit(0.9797908067703247)
sap - pp,self - motivated(0.7514765858650208),team player(0.7450940608978271),self - starter(0.74118971824646),motivated(0.737741231918335),interpersonal(0.7342263460159302)
material master,expense reports(0.9382229447364807),payroll(0.9317077994346619),crs(0.9310731291770935),syspro(0.9255738854408264),oracle financial(0.9244292378425598)
planning strategies,sap ewm(0.5238199830055237),oems(0.5021218657493591),sap plant maintenance(0.5002211332321167),core abap(0.49743548035621643),rural sales development(0.4913613200187683)
make to order,virtual reality(0.531978964805603),"devops , docker(0.5121367573738098)",docker swarm(0.511715829372406),pharmaceuticals(0.5088184475898743),capsules(0.5039478540420532)
lsmw,sap fi(0.9849770665168762),sap implementation(0.9835456013679504),bpc(0.9833268523216248),solman(0.9824899435043335),fi.(0.9809298515319824)
sap apo,agile (5 years)(0.9924668669700623),video conferencing and meetings skills(0.9924375414848328),archiving and record tracing(0.9923678636550903),processing communications (written(0.9923387765884399),systems application and products (sap) and learning management systems (lms)(0.9922719597816467)
concur,accounts receivables(0.9649122953414917),order to cash(0.964399516582489),gl(0.9601046442985535),journal entries(0.954356849193573),expense reports(0.9539862275123596)
sap fico,sap implementation(0.9830297827720642),lsmw(0.9782002568244934),bpc(0.9768764972686768),sap.(0.974102795124054),business process.(0.9740898609161377)
startup environment.,customer sales(0.6860426068305969),"production , operations(0.6426477432250977)",deal structuring(0.6417767405509949),"service , sales(0.6185957193374634)",sales model(0.6161290407180786)
r programming.,c(0.8513131141662598),ssps(0.8480151295661926),"c # , c(0.8070818185806274)",miva script(0.8029372096061707),vb.(0.7930323481559753)
rest service,software configuration management(0.8767238259315491),atdd(0.785382091999054),project life - cycle(0.783103346824646),agile methodologies(0.7817723751068115),telecom(0.7761733531951904)
rest api automation,mobile app testing(0.9749996066093445),mobile applications(0.9718213677406311),pom(0.9649249911308289),testng.(0.9641726016998291),webservices testing(0.959427535533905)
postman.,coded ui(0.9767363667488098),selenium(0.9406353831291199),jasmine(0.9395166039466858),testng(0.935314416885376),webdriver(0.9335289597511292)
j2se.,database testing.(0.7534669041633606),ranorex(0.7283275723457336),it recruitment(0.7149784564971924),test suites.(0.6955403089523315),data visualization tools(0.6914756298065186)
web - application security,quick test professional(0.9197161197662354),cross browser testing(0.9082980155944824),restassured(0.8924604654312134),loadrunner(0.8850979208946228),web driver(0.881744384765625)
owasp,jira.(0.9555343389511108),cruise control(0.9480270147323608),application lifecycle management(0.9431577920913696),jmeter.(0.9407982230186462),mirth(0.9394469857215881)
web - application,java / j2ee.(0.8416239619255066),lld(0.8402110934257507),banking domain.(0.8279377818107605),developing software(0.8247228264808655),jdk(0.8208990097045898)
zap,pmd(0.8019067049026489),build management tools(0.8002600073814392),logging frameworks(0.7982203960418701),apache ant(0.7952965497970581),rational synergy(0.7936719655990601)
citrix xenapp,administration(0.8592051863670349),video conferences(0.8314000964164734),pda(0.8292997479438782),switches(0.8262878656387329),router(0.8218489289283752)
data center administration,srdf(0.9310346841812134),telco(0.9297881722450256),telephony(0.9296255707740784),tracking sales(0.9294461607933044),business operations.(0.9265584945678711)
hardening,esx(0.9804249405860901),esxi(0.9801843762397766),hyper - v(0.979580283164978),file system(0.9790176153182983),patch management(0.9788641929626465)
application monitoring,maintenance activities(0.9850254654884338),qualitystage(0.9841612577438354),change management.(0.9836668372154236),wdm(0.9826940298080444),cmdb(0.9824811816215515)
email administration,high availability(0.8536037802696228),system administration(0.8453105092048645),kickstart(0.8433740139007568),performance monitoring(0.8381748795509338),storage(0.8357670903205872)
backup administration,veritas volume manager(0.8491692543029785),raid(0.8473893404006958),high availability(0.84494549036026),nas(0.8438276052474976),vxvm(0.8428835272789001)
batch management,business services(0.9902006983757019),bill of materials(0.986807107925415),wm(0.9858263731002808),achieving profitability(0.985493004322052),induction(0.9844017624855042)
bladelogic,load balancer.(0.9731562733650208),sccp(0.969687819480896),load balancing.(0.9695969223976135),mcafee epo(0.9685736298561096),bluetooth(0.9683685898780823)
tripwire,network monitoring tools(0.943215012550354),mcafee epo(0.9431329965591431),spanning - tree(0.939961850643158),imperva(0.9393149614334106),bladelogic(0.9376517534255981)
imperva,mcafee epo(0.9544884562492371),sip(0.9522435665130615),load balancer.(0.951490581035614),fcip(0.9507579803466797),"avaya , aura(0.9503186941146851)"
symantec endpoint protection,load balancer.(0.9714208245277405),load balancing.(0.9712721705436707),solarwinds(0.9705290794372559),qradar(0.965124785900116),qualys(0.9650496244430542)
hips,mcafee epo(0.965573787689209),"avaya , aura(0.961709201335907)",odm(0.9607945084571838),außendienst(0.9597141146659851),lwapp(0.9588451385498047)
mcafee epo,"avaya , aura(0.9916704297065735)",lwapp(0.989905595779419),sccp(0.9886254668235779),mgcp(0.9864727854728699),odm(0.985306978225708)
endpoint protection,frame relay(0.9908949732780457),spanning tree(0.9858327507972717),ppp(0.985126256942749),hop(0.9831115007400513),cisco pix(0.9829976558685303)
veeam,load balancer.(0.9544248580932617),spanning - tree(0.9541440606117249),spanning tree protocol(0.9540360569953918),isdn(0.9539465308189392),t1(0.9532309770584106)
xen,centos(0.9707050919532776),redhat linux(0.9633526802062988),cent os(0.9505422115325928),nagios(0.941040575504303),redhat(0.9319459795951843)
spam,google+(0.9321370720863342),bing(0.9177829623222351),social media sites(0.9118666052818298),dot net(0.9068092703819275),payment gateway(0.8968544006347656)
barracuda,ssh(0.7239189743995667),adtran(0.7193305492401123),vmware server(0.7153365612030029),dhcp server(0.7131431698799133),checkpoint firewalls(0.7050289511680603)
cloud technology,cloud computing(0.9218977093696594),aws cloud(0.9193164706230164),route 53(0.9133734107017517),ec2(0.9113366603851318),cloud(0.9060128927230835)
ovm,monitoring tools(0.8396202325820923),network support(0.8299493789672852),system administration(0.8252133727073669),udp(0.8233332633972168),cloud architecture(0.8219326138496399)
redhat linux,centos(0.9821726083755493),nagios(0.9657279849052429),xen(0.9633528590202332),cent os(0.9602950811386108),virtualization(0.9573664665222168)
windows server 2008,windows 8.1(0.9796932935714722),windows server(0.9710211753845215),windows nt 4.0(0.9678201675415039),vmware esx(0.9637789130210876),sco(0.9605197906494141)
whatsup gold,solaris volume manager.(0.90984708070755),esx(0.9033447504043579),printer support(0.8981265425682068),symantec(0.8980754613876343),"configuration management , version control(0.8959875106811523)"
trend micro,bomgar(0.8927819132804871),citrix(0.8921371102333069),ms exchange(0.8892805576324463),charm(0.8763020038604736),netware(0.871643602848053)
nginx.,rtc.(0.8428577780723572),oracle weblogic server(0.8301570415496826),agile software development methodologies(0.7974504232406616),teamcity(0.7828826308250427),apache avro(0.7819110751152039)
arp,mpls(0.9939618110656738),"tcp , udp(0.9939128756523132)",rstp(0.9938892722129822),cisco firewalls(0.9931256771087646),gre(0.9930438995361328)
icmp,routers(0.9803138375282288),vmware vsphere(0.9791498184204102),microsoft exchange(0.978551983833313),osi model(0.9762651324272156),glbp(0.9762427806854248)
tftp,"tcp , udp(0.9934682846069336)",ipsec(0.9929386973381042),gre(0.9925805330276489),802.1q(0.9919673204421997),fwsm(0.9913508296012878)
"clients , network",vmware server(0.7750492095947266),ssh(0.7509708404541016),adtran(0.7484433650970459),netscreen(0.7468301057815552),process monitoring(0.7467831373214722)
ntfs,wan(0.9608901143074036),ssl(0.9589597582817078),wds(0.9522448778152466),hsrp(0.9513890743255615),ipv4(0.9501829743385315)
gmail,"computer , sales(0.8059031367301941)",video editing(0.7773654460906982),oracle webcenter(0.7444866299629211),customer inquiries(0.7372031211853027),bliss(0.7371119260787964)
centos,redhat linux(0.9821725487709045),cent os(0.9753908514976501),xen(0.9707051515579224),redhat(0.9549945592880249),nagios(0.9525303840637207)
microsoft windows server,windows server 2008(0.9558116793632507),operating system.(0.951794445514679),visual basic 6(0.9507976174354553),video(0.9504421949386597),windows server 2008.(0.9484245777130127)
tac,hp - qc(0.9025847911834717),alm(0.8957592248916626),quality center(0.8875284194946289),bug tracking tool(0.8844188451766968),bugzilla.(0.8818380832672119)
jwt.,mas(0.8620796203613281),emr(0.8498698472976685),identity and access management(0.847816526889801),amazon ebs(0.8450554013252258),oracle hcm(0.8392511606216431)
html 5.0,controllers(0.9259233474731445),web interface(0.9226908087730408),ipcc(0.9193627238273621),artwork(0.9164561033248901),survey monkey(0.9124358296394348)
jboss server,scrum framework(0.7143435478210449),pair programming.(0.6893195509910583),technical capabilities(0.6861333847045898),junits(0.6701279878616333),strong communication skills.(0.6661497354507446)
understanding business requirements,bpmn(0.9059959053993225),aerospace(0.9046086072921753),payment systems.(0.8953350782394409),money market(0.8941100835800171),payment solutions(0.8929535746574402)
developing new business processes.,ead(0.8985103964805603),restricted key figures(0.8966526985168457),enterprise application integration(0.893307089805603),application designer(0.8908973336219788),business process mapping(0.8898970484733582)
developing new business,scrum.(0.9404999613761902),project delivery(0.9339554309844971),scrum master(0.9323135018348694),rapid application development(0.928023636341095),development teams(0.9274866580963135)
new business processes.,bi reporting(0.913091242313385),data warehousing concepts(0.9098019599914551),query designer(0.905535876750946),ead(0.9042306542396545),restricted key figures(0.9030932784080505)
customized solutions,systems management(0.9434605240821838),project management.(0.9376188516616821),project completion(0.9368705749511719),automotive(0.9327014088630676),business processes.(0.932133674621582)
docker containers,cloud foundry(0.8678449392318726),cloud computing services(0.8644216060638428),pivotal(0.8622341156005859),elk stack(0.849869430065155),pcf(0.8489087224006653)
fast learner.,team work(0.9347574710845947),work under pressure.(0.9290556907653809),ccl(0.9148539304733276),organized(0.9064365029335022),punctuality.(0.9046399593353271)
"java , j2ee.",spring batch(0.8705223798751831),jaas(0.8662307858467102),product engineering(0.865858256816864),auto(0.8628615736961365),microservices.(0.8585304021835327)
customer delight.,application. experience(0.7733944058418274),rtc.(0.7491390705108643),"tomcat , apache(0.7412906885147095)",oracle weblogic server(0.7316989898681641),data structure and algorithms(0.7310454249382019)
website development,flash.(0.9723708033561707),ionic framework(0.9626271724700928),web / ui(0.9617495536804199),web content(0.9613295197486877),adobe flash.(0.9605435729026794)
angular - js,business continuity(0.9435971975326538),labor relations(0.9416639804840088),program implementation(0.9400718212127686),advisory(0.9398728609085083),brand building(0.9393429756164551)
cosmos,sharepoint(0.7696745991706848),zoho(0.7338495254516602),sugarcrm(0.7235709428787231),rdlc(0.7226210236549377),qlikview(0.7139423489570618)
"unix , linux.",sql plus(0.763573944568634),sap solution manager(0.7259456515312195),vbs(0.7041570544242859),development testing(0.6912187337875366),mac os - x(0.69059818983078)
data dictionary,interactive reports(0.9893903732299805),bdc(0.9865627884864807),alv reports(0.9861009120941162),module pool(0.9858123660087585),alv(0.984082818031311)
patching.,oem(0.9900685548782349),rman.(0.9892958998680115),awr(0.9884901642799377),tkprof(0.9856320023536682),data pump.(0.9818485975265503)
file management.,oracle ebs(0.9518480896949768),oud(0.9478315114974976),batch processing(0.9474543929100037),legacy systems(0.9452337026596069),oem.(0.9441872835159302)
database systems.,mdm(0.8780016899108887),rdm(0.8654325008392334),informatica data quality(0.8628531694412231),idq(0.8605073690414429),informatica mdm(0.8574954867362976)
asm.,imp(0.9903133511543274),data pump(0.9886566996574402),enterprise manager(0.9878200888633728),cloning(0.9866864681243896),tkprof(0.9857392907142639)
data pump,imp(0.9947264194488525),export / import(0.9921989440917969),cloning(0.9914290904998779),asm(0.9894785284996033),asm.(0.9886566400527954)
dbca,rman(0.9769563674926758),asm(0.976640522480011),oracle databases.(0.976479172706604),datapump(0.9739439487457275),cloning(0.9730113744735718)
clusters,cassandra.(0.9734463691711426),cluster(0.96787029504776),apache hadoop(0.9657055735588074),kickstart(0.9629104733467102),load balancers(0.9622905850410461)
.net architecture,maintaining relationships(0.8222346901893616),maintaining customer(0.8215405344963074),concept development(0.8187196850776672),strategic alliances(0.817290186882019),leasing(0.8166670799255371)
ado.net.,.net.(0.9579815864562988),ms technologies(0.9571018815040588),winforms(0.9478399157524109),c # / .net(0.9458865523338318),rvm(0.9453080892562866)
web forms.,health(0.9197758436203003),mentor graphics(0.9195742607116699),engineering design(0.9195222854614258),both written and verbally.(0.918064296245575),exceptional team player with good leadership and interpersonal skills.(0.9176771640777588)
.net framework 3.5,"asp.net , mvc(0.9492066502571106)",asp .net(0.9484280943870544),"c # , asp.net(0.9440717697143555)",.net framework(0.9335008859634399),.net 4.0(0.9295267462730408)
xamarin.,knockout js(0.9032192826271057),angular - 2(0.8886256814002991),knockout(0.888195812702179),angular 2(0.8847101330757141),react.js(0.882705569267273)
.net technologies.,web api.(0.9563420414924622),.net.(0.947148323059082),microsoft technologies.(0.9463382363319397),webapi.(0.9337007403373718),ado.net.(0.9315328001976013)
self starter,work under pressure(0.9696230292320251),written and verbal communication(0.9608660340309143),written communication(0.956998348236084),quick learning(0.9500699639320374),work ethics(0.9492796659469604)
handling multiple projects,leadership(0.9408485889434814),team building(0.9251437187194824),written communications(0.9102314710617065),business objectives.(0.9100401997566223),communicator(0.904829204082489)
asp. net,d365(0.9965404868125916),c#(0.9965090751647949),. net(0.9958839416503906),nhibernate(0.9958206415176392),microsoft dynamics crm(0.993215799331665)
orm frameworks,dwr(0.9784855842590332),restful services(0.9674196243286133),spring jdbc(0.9640650153160095),jstl(0.9636343717575073),rpc(0.9628326892852783)
iis server,entity framework.(0.9575431942939758),microsoft certified professional(0.9487680792808533),asp.net 4.0(0.9469382762908936),sybase ase(0.9462610483169556),ingres(0.9432238340377808)
general management,counseling(0.9847986102104187),vertriebsmanagement(0.9847874641418457),zeitmanagement(0.9847432971000671),induction(0.984651505947113),customer success(0.9845885634422302)
comsol,cisco webex(0.7220465540885925),latex(0.7054039835929871),jmp(0.6826861500740051),korn shell(0.6796879768371582),octave(0.6598746180534363)
greenplum,export / import(0.9815477132797241),cloning(0.9806543588638306),log shipping(0.9801411628723145),user administration(0.9801336526870728),golden gate(0.9797952771186829)
postgres,sql database(0.955799400806427),mongo(0.9524512887001038),oracle 11g(0.95143061876297),oracle sql(0.9379696846008301),db(0.9366592764854431)
goldengate.,endevor(0.9676353931427002),goldengate(0.9671540260314941),mvs(0.9670395255088806),disaster recovery(0.9668753743171692),patching.(0.9662112593650818)
microsoft dynamics ax,dynamics ax(0.996479868888855),dynamics(0.9849687814712524),investments(0.9792621731758118),audits(0.9759631752967834),revenue cycle management(0.9758475422859192)
r3,microsoft dynamics(0.9749559760093689),ar(0.9721576571464539),dynamics(0.9719201326370239),dynamics ax(0.971802830696106),account receivable(0.9643452167510986)
dynamics ax,microsoft dynamics ax(0.9964797496795654),dynamics(0.992935061454773),microsoft dynamics(0.978773832321167),investments(0.9765607118606567),mrp(0.9734877943992615)
e2e implementation,brs(0.9261650443077087),calibration(0.9125887155532837),general ledger(0.8994980454444885),collateral management(0.8975974917411804),compliance(0.8939504027366638)
data migration.,providing support(0.9866318702697754),retail.(0.9856402277946472),data migrations(0.9845621585845947),jndi.(0.9835924506187439),consistently seeks to improve and streamline internal processes.(0.9827078580856323)
ms dynamics ax,have a positive mindset in all situations(0.9772988557815552),bex query designer(0.9772947430610657),loss mitigation(0.9772886633872986),mutual funds(0.9764440059661865),ldm(0.9763073325157166)
functional support,jean(0.8485931158065796),life cycle management(0.835138201713562),ocs(0.8316712379455566),frs(0.8305367827415466),"building , quality(0.8278626203536987)"
microsoft dynamics ax.,ms dynamics(0.8583908081054688),data mart(0.8539099097251892),aperture(0.8440398573875427),mrd(0.8422197103500366),dynamics(0.8326743245124817)
